2024/07/15 13:52:22 logger.go:19: ERROR: could not get img identifier due to irregular filename | '1831-283060872 -0300 -03 m=.png'
2024/07/15 14:18:38 logger.go:19: ERROR: could not get img identifier due to irregular filename | '1831-283060872 -0300 -03 m=.png'
2024/07/15 14:18:38 logger.go:19: ERROR: could not get img identifier due to irregular filename | '256771-057299022 -0300 -03 m=.png'
2024/07/15 14:41:57 logger.go:19: ERROR: could not get img identifier due to irregular filename | '256771-057299022 -0300 -03 m=.png'
2024/07/15 14:41:57 logger.go:19: ERROR: could not get img identifier due to irregular filename | '384357-128922854 -0300 -03 m=.png'
2024/07/15 14:42:02 logger.go:19: ERROR: could not get img identifier due to irregular filename | '384357-128922854 -0300 -03 m=.png'
2024/07/15 14:42:02 logger.go:19: ERROR: could not get img identifier due to irregular filename | '6599-848873149 -0300 -03 m=.png'
2024/07/15 14:58:36 logger.go:19: ERROR: could not get img identifier due to irregular filename | '6599-848873149 -0300 -03 m=.png'
2024/07/15 14:58:36 logger.go:19: ERROR: could not get img identifier due to irregular filename | '85846-97414601 -0300 -03 m=.png'
2024/07/15 14:58:47 logger.go:19: ERROR: could not get img identifier due to irregular filename | '85846-97414601 -0300 -03 m=.png'
2024/07/15 14:58:47 logger.go:19: ERROR: could not get img identifier due to irregular filename | '167628-397083559 -0300 -03 m=.png'
2024/07/15 14:58:52 logger.go:19: ERROR: could not get img identifier due to irregular filename | '167628-397083559 -0300 -03 m=.png'
2024/07/15 14:58:52 logger.go:19: ERROR: could not get img identifier due to irregular filename | '55216-621726783 -0300 -03 m=.png'
2024/07/15 14:59:01 logger.go:19: ERROR: could not get img identifier due to irregular filename | '55216-621726783 -0300 -03 m=.png'
2024/07/15 14:59:01 logger.go:19: ERROR: could not get img identifier due to irregular filename | '54705-287688711 -0300 -03 m=.png'
2024/07/15 14:59:11 logger.go:19: ERROR: could not get img identifier due to irregular filename | '54705-287688711 -0300 -03 m=.png'
2024/07/15 14:59:11 logger.go:19: ERROR: could not get img identifier due to irregular filename | '214917-490362136 -0300 -03 m=.png'
2024/07/15 14:59:18 logger.go:19: ERROR: could not get img identifier due to irregular filename | '214917-490362136 -0300 -03 m=.png'
2024/07/15 14:59:18 logger.go:19: ERROR: could not get img identifier due to irregular filename | '80088-30497597 -0300 -03 m=.png'
2024/07/15 14:59:34 logger.go:19: ERROR: could not get img identifier due to irregular filename | '80088-30497597 -0300 -03 m=.png'
2024/07/15 14:59:34 logger.go:19: ERROR: could not get img identifier due to irregular filename | '124660-570705285 -0300 -03 m=.png'
2024/07/15 14:59:45 logger.go:19: ERROR: could not get img identifier due to irregular filename | '124660-570705285 -0300 -03 m=.png'
2024/07/15 14:59:45 logger.go:19: ERROR: could not get img identifier due to irregular filename | '337926-159900975 -0300 -03 m=.png'
2024/07/15 14:59:54 logger.go:19: ERROR: could not get img identifier due to irregular filename | '337926-159900975 -0300 -03 m=.png'
2024/07/15 14:59:54 logger.go:19: ERROR: could not get img identifier due to irregular filename | '203809-065749686 -0300 -03 m=.png'
2024/07/15 15:00:10 logger.go:19: ERROR: could not get img identifier due to irregular filename | '203809-065749686 -0300 -03 m=.png'
2024/07/15 15:00:10 logger.go:19: ERROR: could not get img identifier due to irregular filename | '108890-563214881 -0300 -03 m=.png'
2024/07/15 15:00:32 logger.go:19: ERROR: could not get img identifier due to irregular filename | '108890-563214881 -0300 -03 m=.png'
2024/07/15 15:00:32 logger.go:19: ERROR: could not get img identifier due to irregular filename | '118028-911023597 -0300 -03 m=.png'
2024/07/15 15:07:31 logger.go:19: ERROR: could not get img identifier due to irregular filename | '118028-911023597 -0300 -03 m=.png'
2024/07/15 15:07:31 logger.go:19: ERROR: could not get img identifier due to irregular filename | '258526-439195269 -0300 -03 m=.png'
